日期,標題,連結
2025/08/07,購買大型重機月月抽日本 MotoGP 應援の旅｜八月中獎名單公告,
2025/08/06,1元實現賽道夢『RDNA 車主專屬賽道日-R15/R3專場』 6/25 正式開放報名,
2025/07/24,YSP：「樂趣隨行 YSP與您一起」中獎名單,
2025/07/22,澎湖縣政府警察局廣場舉行114年度購車交車及企業贈車典禮,
2025/07/16,新北市政府警察局114年度警用高性能巡邏機車交車,
2025/07/15,Yamaha Café 12週年質感升級 全台山海巡迴日夜啟程　以一杯咖啡重新定義騎行生活,
2025/07/14,YAMALUBE是你最好的朋油！好評不斷!,
2025/07/10,購買大型重機月月抽日本 MotoGP 應援の旅｜七月中獎名單公告,
2025/07/09,2025 Yamaha Café 12th 質感再定義，風格再升級！,
2025/07/04,Yamaha 旅遊地圖 - 騎聚杉夜 野旅晨曦,
2025/07/01,「用感動的行動，連結過去與未來」： 2025 Yamaha Day,
2025/07/01,YSP 啟動夏日引擎 給您滿格動力,
2025/06/27,MAX is in details：全新 「TMAX」 以極致細節主宰王者之路,
2025/06/27,EXPERIENCE THE MAX：「XMAX」再進化 定義中量級速克達新標準,
2025/06/26,Unleash your Darkness：2025「MT-09」煥新登場,
2025/06/26,Dawn of a New Darkness：全新「MT-07」強勢登場,
2025/06/20,「Revs your Heart」：Yamaha參展2025國際重型機車展,
2025/06/17,2025 YAMAHA NTGP 全國技術競賽圓滿落幕,
2025/06/09,購買大型重機月月抽日本 MotoGP 應援の旅｜六月中獎名單公告,
2025/05/29,「YZF-R9」 車款供應狀況通知,
2025/05/29,歐兜邁冒險趣台灣篇第二波 I 歐兜邁投票趣,
2024/05/27,熱血新篇章 「RDNA 菁英選手培訓營」 入選名單公布,
2025/05/09,購買大型重機月月抽日本 MotoGP 應援の旅｜五月中獎名單公告,
2025/05/07,《Yamaha線上商城春夏特賣滿額抽獎》中獎公告,
2025/04/30,熱血新篇章 「RDNA 菁英選手培訓營」 5/7 正式開放報名,
2025/04/30,A New Generation of Supersport：「YZF-R9」限量首發 5/5 正式預售,
2025/04/30,We R Racing Perfection：「YZF-R15」車系在地組裝化導入  即日起開放預購,
2025/04/24,2025 Yamaha 大型重機車主日本MotoGP應援の旅,
2025/04/18,Yamaha 旅遊地圖：小港逐風 千野騎巡,
2025/04/15,迎春出清，線上商城春夏特賣會,
2025/04/10,購買大型重機月月抽日本 MotoGP 應援の旅｜四月中獎名單公告,
2025/04/07,「Vinoora」2025年式 新復古，百變登場  !,
2025/04/07,靜奢出眾 率性由我「Limi 」新色來襲,
2025/04/02,在地組裝化MT-15熱銷售破千台 品質技術全揭露,
2025/02/25,YRA (Yamaha Riding Academy)2025年系列課程開放報名！,
2025/02/18,YAMALUBE是你最好的朋油！,
2025/02/13,Retro咖啡廳打卡集章抽獎活動 得獎名單公告,
2025/01/15,台灣山葉機車榮獲113年體育推手獎「長期贊助獎、金質獎」雙項殊榮,
2025/01/13,台灣山葉機車榮獲首屆ESG交通運輸永續獎 金獎,
2025/01/10,山葉發動機更改企業LOGO設計並推出紀念70週年LOGO,
2025/01/03,Y-Connect TWN Android 15 使用相關公告,
2024/12/24,YAMAHA大獎來襲：「健檢抽好禮」中獎名單,
2024/12/17,「亞瑪阿哈の多重宇宙」中獎名單,
2024/12/10,台灣山葉機車協同美國穀物協會舉辦生質燃料試乘會,
2024/12/02,《Yamaha線上商城雙11滿額抽獎》中獎公告,
2024/11/22,2024「MAX山海輕旅行」 MAX車系限定車主活動 山海騎跡完美落幕,
2024/11/20,「勁」速之巔 不服來「戰」：2024 勁戰大會師,
2024/11/14,AUGUR 匯星任務「智領風潮大禮」中獎名單,
2024/11/05,「MT WEEK 闇夜玩家」MT-15車主專屬，活動延期明年舉辦！,
2024/11/04,YSP：「騎一夏~出發吧!」中獎名單,
2024/11/01,Retro咖啡廳打卡集章抽獎活動,
2024/10/29,台灣山葉機車主辦「第六屆國家企業環保獎觀摩研討會」,
2024/10/29,2024 Vinoora 文青漫活節 台南場開放報名,
2024/10/28,Yamaha健檢季：「滿貫好禮大放送」中獎名單,
2024/10/23,Y-Connect TWN iOS 18 使用相關公告,
2024/10/15,A New Generation of Supersport ：「YZF-R9」 2025年第二季引進確認,
2024/10/14,正廠的液體零件：帶您一窺YAMALUBE的開發秘辛,
2024/10/11,YAMAHACUP快樂踢球趣 - YAMAHA會員專屬活動,
2024/10/09,AUGUR 匯星任務：騎聚一堂 釋放星芒,
2024/10/07,YAMAHA會員滿意度問卷 填寫抽好禮送點數,
2024/10/04,Yamaha與您同行：山陀兒風災損害車輛關懷活動,
2024/09/30,2024 Yamaha 重機大會師 完美落幕,
2024/09/18,《Yamaha線上商城周年慶滿額抽獎》中獎公告,
2024/09/06,台灣山葉機車連續兩年榮獲「國家企業環保獎 銀級獎」,
2024/09/02,第15屆YAMAHA CUP報名啟動 快樂踢球趣讓夢想起飛,
2024/08/30,2024 Vinoora 文青漫活節 台中場開放報名,
2024/08/27,Yamaha 旅遊地圖：金龍巡禮 勇闖金山,
2024/08/23,台灣山葉機車獲選「低碳轉型標竿企業」 攜手經濟部舉辦技術觀摩會,
2024/08/19,2024  「Yamaha 重機大會師」:  頂尖騎士召集令，BIG BIKE限定遊樂場,
2024/08/08,台灣山葉機車與新竹縣政府合作，建立『JOG』安心安衛家族,
2024/08/07,YSP：「花季盛典 春日騎行」中獎名單,
2024/08/01,SYMBIOSIS WITH DARKNESS：「MT-09 Y-AMT」 正式開放預約,
2024/07/30,Yamaha與您同行：風災損害車輛關懷活動,
2024/07/26,SYMBIOSIS WITH DARKNESS：「MT-09 Y-AMT」 全球首度亮相,
2024/07/26,Find Your Darkness：「MT-07」 2024年式新色登場,
2024/07/24,「YMS春遊預約保養YAMAHA LIFE APP與禮相遇」中獎名單,
2024/07/17,「啟動、你的玩樂之心」：Yamaha參展2024國際重型機車展,
2024/07/12,2024 Vinoora 文青漫活節 台北場開放報名,
2024/07/02,「MT WEEK 月光百騎夜行」闇黑風暴席捲台中，報名開催！,
2024/07/01,2024年式  Yamaha 電動車 『 EMF』 新色上市,
2024/06/19,TAME THE DARKNESS ：「MT-15」在地組裝化導入確定,
2024/06/03,Straight to the MAX：「TMAX」新色登場,
2024/05/23,Yamaha首度聯手中華職棒富邦悍將！4/27~28日「重裝戰將」主題日 圓滿結束,
2024/05/22,Yamaha 2024「RETRO PARTY」 開放報名,
2024/05/17,「第三屆 RDNA 潛力新星挑戰賽」各區最終入選名單,
2024/05/09,台灣山葉機車攜手臺北市政府消防局響應淨零排放，購置新夥伴Yamaha電動車「  EMF 」,
2024/05/07,2024 塗裝「 YZF-R15」Monster Energy Yamaha MotoGP Edition 磅礡登場,
2024/04/26,Follow the MAX ：「XMAX」2024 新色登場,
2024/04/25,We R Racing Perfection：「YZF-R15 M」2024 新色上陣,
2024/04/25,Yamaha 旅遊地圖-時空騎旅 春遊南投,
2024/04/25,YSP：「潮玩新春 YSP陪你同行」中獎名單,
2024/04/22,第三屆 RDNA 潛力新星挑戰賽：海選名單,
2024/04/18,「EMF」解鎖試乘任務 立即抽限量公仔 中獎名單,
2024/04/18,2024 Yamaha Café 11週年 正式啟程！,
2024/04/11,釋放賽道魂 『第三屆 RDNA 潛力新星挑戰賽』 海選正式招募中,
2024/04/17,Yamaha 旅遊地圖：友澎齊聚．跨海騎行,
2024/04/12,Unleash Your Darkness :「MT-09」2024年式全新登場,
2024/04/11,「駕馭夢想 最佳拍檔」：YAMALUBE最新打檔車專用機油 4-SP 上市,
2024/04/11,【輕鬆換！YAMALUBE專業MA保養】,
2024/04/11,【返店保養：YAMALUBE好禮獎不完！】,
2024/04/10,台灣山葉機車集團關懷災區，救災總動員,
2024/04/10,2024年新春【YAMALUBE保養有一套】中獎名單,
2024/04/10,2024 Yamaha Café 11th 即將開跑 邁向新里程！,
2024/03/20,Yamaha 「Vinoora」× 高雄燈會 賞車活動 中獎名單,
2024/03/18,YMS 巡迴賞車試駕享好禮,
2024/03/12,與「Vinoora」一起騎向夢時代：OPEN!大氣球遊行 圓滿結束,
2024/02/21,「FORCE 2.0」2024年式樣新上市,
2024/02/21,「RS NEO 」我潮型 新色出擊,
2023/02/07,「預約回YMS健檢 就是這麼心安禮得」中獎名單,
2024/02/07,台灣山葉機車 支持台灣運動一起做公益,
2024/02/05,野獸奔馳迎龍年 滿額抽「EMF」,
2024/01/29,「TMAX」車輛韌體更新通知,
2024/01/16,關於「Gogoro Network部分電池及車輛韌體異常」公告,
2024/01/11,2024年Yamaha 親子機車教室 課程報名展開中！,
2024/01/11,YRA (Yamaha Riding Academy)2024年系列課程報名展開中！,
2024/01/10,We R Racing Perfection：「YZF-R15」2024 新色登場,
2024/01/09,顛覆黑白 特立獨型 「Limi 」進化登場,
2024/01/05,「公仔取好名 YSP送iPhone」中獎名單公布,
2024/01/05,Next Horizon Is Yours：「Ténéré 700」2024年式改款登場,
2024/01/05,R world is within your reach：「YZF-R7」2024 年式新色登場,
2023/12/15,領先卓越：新型態「Yamaha Super Plaza」導入,
2023/12/14,e交車2抽獎3送禮 第二梯次中獎名單公布,
2023/12/12,Yamaha EV Day,
2023/12/07,2023年Yamaha新世代教育 勇敢追夢 放手打拼,
2023/11/29,台灣山葉機車榮獲「第五屆國家企業環保獎 銀級獎」,
2023/11/17,「MT-09」2024年第二季確認引進,
2023/11/03,預約回YMS健檢 就是這麼心安禮得,
2023/11/01,Yamaha試乘網站全新改版享好禮活動：10月中獎名單,
2023/11/01,Yamaha 試乘年末GO好禮活動,
2023/10/28,雙11倒數，線上商城折扣拼圖大解密,
2023/10/17,CYGNUS GRYPHUS  Monster Energy Yamaha MotoGP Edition 頂尖結合，跨世降臨,
2023/10/17,2024年式「YZF-R3」Monster Energy Yamaha MotoGP Edition全新登場,
2023/10/13,CYGNUS網路活動  得獎名單公告,
2023/09/18,Yamaha 旅遊地圖-乘風破浪 北境密遊,
2023/09/16,RIDE FREE: 「FZ-X」,
2023/09/16,TAME THE DARKNESS: 「MT-15」,
2023/08/31,讚出來!應援趣!第14屆YAMAHA CUP報名啟動,
2023/08/21,YAMAHA MOTOR 線上商城全新上線、魅力無限：即享8折優惠券+全站免運,
2023/08/21,「Vinoora」 My feeling My journey 活動中獎名單,
2023/08/18,2023「Yamaha 重機大會師」圓滿落幕,
2023/07/28,2023年NTGP(National Technician Grand Prix)全國服務競技大賽,
2023/07/04,YAMAHA 「AUGUR」試乘好禮加碼送 中獎名單,
2023/07/03,2023 Yamaha 大型重機車主 MotoGP 日本應援の旅,
2023/06/29,野心召喚：「BW’S」進化新登場,
2023/06/18,最強正廠賽道基因「4-GP」！正廠液體零件YAMALUBE全新鉅獻！,
2023/06/18,頂級油品再昇級！YAMALUBE「RS4GP」！,
2023/05/24,「Limi」新色搶眼上市,
2023/05/08,2023 Yamaha「一気乗リ」重機試乘會,
2023/05/02,"My feeling, my journey : 「Vinoora」貼心上市 !",
2023/04/19,台灣山葉機車將與台灣騎士精神發展運動協會合作推廣2023年「TSR機車錦標賽」,
2023/04/10,釋放賽道魂 『 第二屆 RDNA 潛力新星挑戰賽』 海選招募中,
2023/04/10,2023 Yamaha Cafe 10週年 正式啟程！,
2023/03/31,R WORLD IS CALLING：「YZF-R3」新色登場,
2023/03/31,Dark Attraction：「MT-07」 2023年式改款登場,
2023/03/20,Yamaha 旅遊地圖-可可飄香 雲梯漫遊,
2023/03/14,AUGUR特仕版 曙光白 曜眼新上市,
2023/03/08,「CYGNUS GRYPHUS」 未來 就是我 全新上市,
2023/02/21,台灣山葉機車實行廠辦合一  新工廠落成新竹湖口提升溝通效率,
2023/02/17,安心出發  勁享生活 「勁豪 125」,
2023/02/09,2023年式樣「FORCE 2.0」新上市,
2023/02/01,Straight to the MAX ：「TMAX Tech Max」2023年式登場,
2023/02/01,Follow the MAX ：「XMAX」2023年式改款全新登場,
2023/01/13,為美好旅程 增添全新色彩：「NMAX」 新色登場,
2022/11/15,TMAX (2022年版)車輛韌體更新！,
2022/08/12,YAMAHA BW’S 美國橫跨挑戰 座談會,
2022/03/18,Dark Blast：「MT-03」新色登場,
2022/03/18,R WORLD IS CALLING：「YZF-R3」新色登場,
2022/03/14,「 RS NEO 」我潮Chill　改款新色狂潮上市,
2022/03/11,R-series 最速制霸「YMS電競挑戰賽」等你來輸贏,
2022/03/10,The Best Move in Town：「TRICITY 300」2022年式登場,
2022/03/09,智能服務 解鎖未來：「Y-Connect TWN for EV」,
2022/02/24,Design to the MAX：「XMAX」新色登場,
2022/02/16,Straight to the MAX：「TMAX」全新登場,
2022/02/11,YRA (Yamaha Riding Academy)2022年系列課程報名展開中！,
2022/02/11,Yamaha 親子機車教室 課程報名展開中！,
2022/01/19,新世代移動載具「EMF」,
2022/01/12,Revolutionising an icon：「MT-09」新色登場,
2022/01/12,Dark Attraction：「MT-07」新色登場,
2021/12/24,桃園市長參訪台灣山葉機車,
2021/12/09,台灣山葉機車獲頒110年體育推手獎贊助類銅質獎,
2021/12/03,Next Horizon Is Yours：「Ténéré 700」,
2021/12/03,Born to Challenge：「XSR700」 2022年新色上市,
2021/11/22,2021 Yamaha 旅遊地圖-童樂焢窯趣,
2021/11/19,叫座又叫好 銷售王「FORCE」勇奪國家發明創作獎,
2021/11/16,YAMAHA CUP 重要通知,
2021/11/16,台灣山葉機車獲頒財政部110年績優營業人,
2021/10/13,釋放自傲本能 「FORCE 2.0」絕不退讓 進化登場,
2021/10/12,「Limi」新色上市 揮別標籤，自成一格,
2021/09/06,Yamaha R-Series 線上兩輪名人盃,
2021/08/02,踏入「R」的世界：「YZF-R15 」,
2021/07/26,釋放你的「R DNA」：「YZF-R7」,
2021/07/01,「Vinoora」特仕版 放膽善變，全新幻白,
2021/06/18,萬人迷：「XMAX 300」,
2021/05/25,童年的最佳玩伴 Yamaha 「PW50」 正式上市,
2021/05/24,「YZF-R7」 2021年第四季引進確認,
2021/05/14,潮躍登場 「 RS NEO 」改款上市,
2021/03/05,2021年式新色登場：「YZF-R3 」,
2021/01/18,最懂你的「勁豪 125」,
2021/01/07,悅動你心！Yamaha 2021國際摩托車暨用品展參展,
2021/01/07,Pure Torque：「MT-07」,
2021/01/07,Revolutionising an Icon：「2021 MT-09」,
2021/01/07,2021年式新色登場：「TMAX 560 」,
2020/12/25,Yamaha(鴻寶 重安店)電動機車展示店暨GoStation®電池交換站正式開幕,
2020/12/04,「EC-05」ECU軟體暨「YAMAHA LIFE EV APP」升級說明,
2020/11/25,台灣山葉機車榮獲「第二屆國家企業環保獎」,
2020/11/24,探索闇夜：「MT-03」,
2020/10/30,iOS YAMAHA LIFE EV APP藍牙連線問題公告,
2020/10/28,2020 YAMAHA 重機大會師 騎上重機 恣意旅行 也散播愛心,
2020/10/21,Let’s Party！做自己的MVP！第12屆「YAMAHA CUP 快樂踢球趣」,
2020/10/18,聰明移動：「TRICITY 300」,
2020/10/13,「我·耀·你」！全新「Vinoora」再掀時尚話題,
2020/09/25,YAMALUBE Racing Team以「CYGNUS GRYPHUS」參戰,
2020/08/24,2020 台灣山葉機車媒體茶會,
2020/08/14,#我潮，玩出色 ! 「RS NEO」,
2020/08/03,Advance Now，「EC-05」ABS,
2020/08/01,跨世降臨：「CYGNUS GRYPHUS Monster Energy Yamaha MotoGP Edition」,
2020/07/15,分站冠軍再入袋!「YAMALUBE 勁翔 Racing Team」,
2020/07/01,2020 Yamaha Day 7月1日跟著Yamaha一起Run起來,
2020/06/11,有你在一起「真豪」 YAMAHA 勁豪 125 七期環保上市,
2020/06/10,「YAMALUBE 勁翔 Racing Team」TSR錦標賽第二站再接再厲,
2020/06/10,承先啟後：「NMAX 155」,
2020/06/03,溫故知新：「XSR700」新色上市,
2020/05/26,「YAMALUBE 勁翔 Racing Team」強勢席捲TSR錦標賽開幕戰,
2020/05/25,「YZF-R3」兩輪媒體競速同樂會,
2020/05/08,夜－任我張狂，「FORCE」傲色上市,
2020/05/07,新型冠狀病毒防疫：勞動部長蒞臨職場訪視,
2020/03/23,台灣山葉機車取得ISO 45001驗證,
2020/02/26,更加運動化的氛圍， 2020年式「MT-07」新色登場,
2020/02/26,闇夜跑格再進化！2020年式「MT-09」來襲！,
2020/02/26,不負渴望：「XMAX 300」,
2020/02/17,「SMAX」我自漫遊 品見新色生活,
2020/02/14,輕.純「CUXI」，極簡純色吸睛登場,
2020/02/11,「Limi」 突破極限，進化重生！Break the Limit！,
2019/12/19,登基為王：「TMAX 560 」,
2019/12/06,繼「德國設計大賞」後， Yamaha EC-05再次榮獲台灣「金點設計獎」殊榮,
2019/12/03,Yamaha新世代教育 超越期待再進化,
2019/12/02,「EC-05」榮獲【2020 德國設計大賞－Winner】,
2019/11/01,意見回饋更便捷!新車車主回函上線,
2019/10/29,熱情滿載！Maverick Viñales粉絲應援會！,
2019/09/27,台灣山葉機車贊助2019桃園農業博覽會,
2019/09/25,限量魔爪再臨：「YZF-R3 Monster Energy Yamaha MotoGP Edition」,
2019/09/25,R世界再臨：「YZF-R3 」新色出擊,
2019/09/20,台灣山葉機車公司經營層人事異動,
2019/09/12,台灣山葉機車與政府、傳統機車行同一陣線，一起提供最貼心的燃油車及電動車維修服務,
2019/09/12,台灣山葉機車獲得2019年體育推手獎雙料獎項-銀質獎與長期贊助獎,
